Entity,Code,Year,Decadal average surface temperature
Chile,CHL,2010,9.258726
China,CHN,1940,6.5953736
China,CHN,1950,6.2798743
China,CHN,1960,6.2002006
China,CHN,1970,6.2327123
China,CHN,1980,6.4008713
China,CHN,1990,6.8887634
China,CHN,2000,7.243329
China,CHN,2010,7.36175
Colombia,COL,1940,22.689487
Colombia,COL,1950,23.013205
Colombia,COL,1960,23.476137
Colombia,COL,1970,23.356165
Colombia,COL,1980,23.43871
Colombia,COL,1990,23.511103
Colombia,COL,2000,23.757778
Colombia,COL,2010,24.202518
Comoros,COM,1940,24.556097
Comoros,COM,1950,24.505089
Comoros,COM,1960,24.525274
Comoros,COM,1970,24.553762
Comoros,COM,1980,24.748037
Comoros,COM,1990,24.800604
Comoros,COM,2000,24.941677
Comoros,COM,2010,25.208845
Congo,COG,1940,24.108528
Congo,COG,1950,23.991116
Congo,COG,1960,23.983274
Congo,COG,1970,23.881264
Congo,COG,1980,24.179914
Congo,COG,1990,24.387087
Congo,COG,2000,24.634304
Congo,COG,2010,25.052778
Cook Islands,COK,1940,23.850327
Cook Islands,COK,1950,23.847466
Cook Islands,COK,1960,23.951675
Cook Islands,COK,1970,24.01841
Cook Islands,COK,1980,23.917303
Cook Islands,COK,1990,24.118
Cook Islands,COK,2000,24.356852
Cook Islands,COK,2010,24.457424
Costa Rica,CRI,1940,22.131466
Costa Rica,CRI,1950,22.5538
Costa Rica,CRI,1960,22.508892
Costa Rica,CRI,1970,22.500708
Costa Rica,CRI,1980,22.829266
Costa Rica,CRI,1990,22.808102
Costa Rica,CRI,2000,22.950226
Costa Rica,CRI,2010,23.245443
Cote d'Ivoire,CIV,1940,25.301899
Cote d'Ivoire,CIV,1950,25.230164
Cote d'Ivoire,CIV,1960,25.52047
Cote d'Ivoire,CIV,1970,25.614182
Cote d'Ivoire,CIV,1980,26.053883
Cote d'Ivoire,CIV,1990,26.050816
Cote d'Ivoire,CIV,2000,26.379963
Cote d'Ivoire,CIV,2010,26.612534
Croatia,HRV,1940,10.592341
Croatia,HRV,1950,11.203451
Croatia,HRV,1960,11.033377
Croatia,HRV,1970,11.065283
Croatia,HRV,1980,11.12345
Croatia,HRV,1990,11.569711
Croatia,HRV,2000,12.208793
Croatia,HRV,2010,12.558723
Cuba,CUB,1940,25.32922
Cuba,CUB,1950,25.075878
Cuba,CUB,1960,24.967112
Cuba,CUB,1970,24.945038
Cuba,CUB,1980,25.07311
Cuba,CUB,1990,25.419193
Cuba,CUB,2000,25.392962
Cuba,CUB,2010,25.58415
Cyprus,CYP,1940,18.571953
Cyprus,CYP,1950,18.850458
Cyprus,CYP,1960,19.021593
Cyprus,CYP,1970,18.611086
Cyprus,CYP,1980,18.608456
Cyprus,CYP,1990,19.170841
Cyprus,CYP,2000,19.752682
Cyprus,CYP,2010,20.155361
Czechia,CZE,1940,7.031085
Czechia,CZE,1950,7.3854637
Czechia,CZE,1960,7.368577
Czechia,CZE,1970,7.672995
Czechia,CZE,1980,7.618144
Czechia,CZE,1990,7.9900084
Czechia,CZE,2000,8.586776
Czechia,CZE,2010,8.980566
Democratic Republic of Congo,COD,1940,23.33709
Democratic Republic of Congo,COD,1950,23.192131
Democratic Republic of Congo,COD,1960,23.124979
Democratic Republic of Congo,COD,1970,23.189901
Democratic Republic of Congo,COD,1980,23.570736
Democratic Republic of Congo,COD,1990,23.743353
Democratic Republic of Congo,COD,2000,23.955769
Democratic Republic of Congo,COD,2010,24.46605
Denmark,DNK,1940,7.7967653
Denmark,DNK,1950,7.841649
Denmark,DNK,1960,7.56832
Denmark,DNK,1970,8.069213
Denmark,DNK,1980,7.908348
Denmark,DNK,1990,8.529048
Denmark,DNK,2000,9.079833
Denmark,DNK,2010,9.009666
Djibouti,DJI,1940,26.925156
Djibouti,DJI,1950,26.541828
Djibouti,DJI,1960,27.72367
Djibouti,DJI,1970,27.579931
Djibouti,DJI,1980,28.007486
Djibouti,DJI,1990,28.297077
Djibouti,DJI,2000,28.352535
Djibouti,DJI,2010,28.455023
Dominican Republic,DOM,1940,23.559254
Dominican Republic,DOM,1950,23.636915
Dominican Republic,DOM,1960,23.657604
Dominican Republic,DOM,1970,23.789722
Dominican Republic,DOM,1980,23.8494
Dominican Republic,DOM,1990,23.993208
Dominican Republic,DOM,2000,24.155571
Dominican Republic,DOM,2010,24.471426
East Timor,TLS,1940,23.719906
East Timor,TLS,1950,23.973911
East Timor,TLS,1960,23.886196
East Timor,TLS,1970,24.050829
East Timor,TLS,1980,24.35022
East Timor,TLS,1990,24.288303
East Timor,TLS,2000,24.389286
East Timor,TLS,2010,24.654186
Ecuador,ECU,1940,19.723778
Ecuador,ECU,1950,19.619503
Ecuador,ECU,1960,20.020588
Ecuador,ECU,1970,20.159433
Ecuador,ECU,1980,20.369028
Ecuador,ECU,1990,20.30901
Ecuador,ECU,2000,20.347622
Ecuador,ECU,2010,21.039095
Egypt,EGY,1940,21.35923
Egypt,EGY,1950,21.811926
Egypt,EGY,1960,22.073711
Egypt,EGY,1970,21.888336
Egypt,EGY,1980,22.026436
Egypt,EGY,1990,22.57678
Egypt,EGY,2000,22.986528
Egypt,EGY,2010,23.5056
El Salvador,SLV,1940,24.807003
El Salvador,SLV,1950,24.879433
El Salvador,SLV,1960,25.204397
El Salvador,SLV,1970,25.425589
El Salvador,SLV,1980,25.700771
El Salvador,SLV,1990,25.789896
El Salvador,SLV,2000,25.826336
El Salvador,SLV,2010,26.3992
Equatorial Guinea,GNQ,1940,22.643812
Equatorial Guinea,GNQ,1950,22.703163
Equatorial Guinea,GNQ,1960,22.844774
Equatorial Guinea,GNQ,1970,22.8978
Equatorial Guinea,GNQ,1980,23.189686
Equatorial Guinea,GNQ,1990,23.359262
Equatorial Guinea,GNQ,2000,23.636793
Equatorial Guinea,GNQ,2010,24.171387
Eritrea,ERI,1940,24.863499
Eritrea,ERI,1950,25.180979
Eritrea,ERI,1960,26.111069
Eritrea,ERI,1970,25.938284
Eritrea,ERI,1980,26.37402
Eritrea,ERI,1990,26.606369
Eritrea,ERI,2000,26.887018
Eritrea,ERI,2010,27.216644
Estonia,EST,1940,4.7177725
Estonia,EST,1950,4.8617506
Estonia,EST,1960,4.753705
Estonia,EST,1970,5.1587496
Estonia,EST,1980,5.3087244
Estonia,EST,1990,5.932206
Estonia,EST,2000,6.4032087
Estonia,EST,2010,6.5363016
Eswatini,SWZ,1940,19.048557
Eswatini,SWZ,1950,19.245377
Eswatini,SWZ,1960,19.354692
Eswatini,SWZ,1970,19.354467
Eswatini,SWZ,1980,19.437534
Eswatini,SWZ,1990,19.493397
Eswatini,SWZ,2000,19.611938
Eswatini,SWZ,2010,20.036505
Ethiopia,ETH,1940,21.93674
Ethiopia,ETH,1950,21.780031
Ethiopia,ETH,1960,22.288553
Ethiopia,ETH,1970,22.483534
Ethiopia,ETH,1980,22.794727
Ethiopia,ETH,1990,23.094334
Ethiopia,ETH,2000,23.300098
Ethiopia,ETH,2010,23.646511
Falkland Islands,FLK,1940,5.9075036
Falkland Islands,FLK,1950,5.9643035
Falkland Islands,FLK,1960,6.4897666
Falkland Islands,FLK,1970,6.353739
Falkland Islands,FLK,1980,6.642324
Falkland Islands,FLK,1990,6.6181765
Falkland Islands,FLK,2000,6.60578
Falkland Islands,FLK,2010,6.685015
Faroe Islands,FRO,1940,6.8079596
Faroe Islands,FRO,1950,6.7549844
Faroe Islands,FRO,1960,6.5696855
Faroe Islands,FRO,1970,6.4988604
Faroe Islands,FRO,1980,6.5137863
Faroe Islands,FRO,1990,6.7408433
Faroe Islands,FRO,2000,7.3110046
Faroe Islands,FRO,2010,7.226817
Fiji,FJI,1940,23.623955
Fiji,FJI,1950,23.90794
Fiji,FJI,1960,23.9158
Fiji,FJI,1970,24.011974
Fiji,FJI,1980,24.02769
Fiji,FJI,1990,24.023882
Fiji,FJI,2000,24.35912
Fiji,FJI,2010,24.511768
Finland,FIN,1940,1.803003
Finland,FIN,1950,1.8382288
Finland,FIN,1960,1.5389178
Finland,FIN,1970,1.8748013
Finland,FIN,1980,1.7035081
Finland,FIN,1990,2.4045105
Finland,FIN,2000,3.0306199
Finland,FIN,2010,3.1858466
France,FRA,1940,12.423977
France,FRA,1950,12.4731655
France,FRA,1960,12.40454
France,FRA,1970,12.382408
France,FRA,1980,12.608258
France,FRA,1990,13.111328
France,FRA,2000,13.434871
France,FRA,2010,13.686145
French Polynesia,PYF,1940,25.056976
French Polynesia,PYF,1950,24.975403
French Polynesia,PYF,1960,25.07199
French Polynesia,PYF,1970,24.984068
French Polynesia,PYF,1980,25.286486
French Polynesia,PYF,1990,25.37862
French Polynesia,PYF,2000,25.452341
French Polynesia,PYF,2010,25.445889
Gabon,GAB,1940,23.53666
Gabon,GAB,1950,23.563335
Gabon,GAB,1960,23.660662
Gabon,GAB,1970,23.683582
Gabon,GAB,1980,23.998392
Gabon,GAB,1990,24.158264
Gabon,GAB,2000,24.450397
Gabon,GAB,2010,24.960098
Gambia,GMB,1940,26.957195
Gambia,GMB,1950,26.617767
Gambia,GMB,1960,26.62894
Gambia,GMB,1970,27.100536
Gambia,GMB,1980,27.35263
Gambia,GMB,1990,27.613789
Gambia,GMB,2000,27.678751
Gambia,GMB,2010,27.942013
Georgia,GEO,1940,6.611721
Georgia,GEO,1950,7.198986
Georgia,GEO,1960,7.488223
Georgia,GEO,1970,7.1446967
Georgia,GEO,1980,7.3969917
Georgia,GEO,1990,7.3957734
Georgia,GEO,2000,7.8589005
Georgia,GEO,2010,8.840884
Germany,DEU,1940,8.146942
Germany,DEU,1950,8.30261
Germany,DEU,1960,8.316903
Germany,DEU,1970,8.466089
Germany,DEU,1980,8.347002
Germany,DEU,1990,8.902532
Germany,DEU,2000,9.494944
Germany,DEU,2010,9.6833935
Ghana,GHA,1940,26.38327
Ghana,GHA,1950,26.202282
Ghana,GHA,1960,26.433233
Ghana,GHA,1970,26.551636
Ghana,GHA,1980,27.017986
Ghana,GHA,1990,26.983017
Ghana,GHA,2000,27.34052
Ghana,GHA,2010,27.71268
Greece,GRC,1940,13.986224
Greece,GRC,1950,14.557756
Greece,GRC,1960,14.460012
Greece,GRC,1970,14.226797
Greece,GRC,1980,14.279698
Greece,GRC,1990,14.469055
Greece,GRC,2000,14.88475
Greece,GRC,2010,15.415324
Greenland,GRL,1940,-19.639057
Greenland,GRL,1950,-19.354403
Greenland,GRL,1960,-19.114428
Greenland,GRL,1970,-19.247185
Greenland,GRL,1980,-19.26945
Greenland,GRL,1990,-19.045118
Greenland,GRL,2000,-18.169666
Greenland,GRL,2010,-17.856318
Guatemala,GTM,1940,21.5246
Guatemala,GTM,1950,21.564734
Guatemala,GTM,1960,21.77211
Guatemala,GTM,1970,22.038292
Guatemala,GTM,1980,22.174137
Guatemala,GTM,1990,22.558674
Guatemala,GTM,2000,22.749111
Guatemala,GTM,2010,23.357002
Guinea,GIN,1940,24.872547
Guinea,GIN,1950,24.83437
Guinea,GIN,1960,25.231653
Guinea,GIN,1970,25.352205
Guinea,GIN,1980,25.678024
Guinea,GIN,1990,25.72735
Guinea,GIN,2000,25.94865
Guinea,GIN,2010,26.079594
Guinea-Bissau,GNB,1940,26.641504
Guinea-Bissau,GNB,1950,26.468693
Guinea-Bissau,GNB,1960,26.710052
Guinea-Bissau,GNB,1970,26.810192
Guinea-Bissau,GNB,1980,27.130457
Guinea-Bissau,GNB,1990,27.494144
Guinea-Bissau,GNB,2000,27.557419
Guinea-Bissau,GNB,2010,27.527729
Guyana,GUY,1940,24.405487
Guyana,GUY,1950,24.517157
Guyana,GUY,1960,24.841969
Guyana,GUY,1970,24.50893
Guyana,GUY,1980,24.810917
Guyana,GUY,1990,25.15878
Guyana,GUY,2000,25.20921
Guyana,GUY,2010,25.420757
Haiti,HTI,1940,24.387411
Haiti,HTI,1950,24.310001
Haiti,HTI,1960,24.324863
Haiti,HTI,1970,24.259052
Haiti,HTI,1980,24.616327
Haiti,HTI,1990,24.780766
Haiti,HTI,2000,24.888855
Haiti,HTI,2010,25.2642
Heard Island and McDonald Islands,HMD,1940,0.91254884
Heard Island and McDonald Islands,HMD,1950,1.1688197
Heard Island and McDonald Islands,HMD,1960,1.3128405
Heard Island and McDonald Islands,HMD,1970,1.3246429
Heard Island and McDonald Islands,HMD,1980,1.5551946
Heard Island and McDonald Islands,HMD,1990,1.4933407
Heard Island and McDonald Islands,HMD,2000,1.517268
Heard Island and McDonald Islands,HMD,2010,1.7958517
Honduras,HND,1940,22.037174
Honduras,HND,1950,22.476484
Honduras,HND,1960,22.747145
Honduras,HND,1970,22.948935
Honduras,HND,1980,23.129374
Honduras,HND,1990,23.310772
Honduras,HND,2000,23.35178
Honduras,HND,2010,23.747957
Hong Kong,HKG,1940,22.149273
Hong Kong,HKG,1950,22.474884
Hong Kong,HKG,1960,22.555202
Hong Kong,HKG,1970,22.505901
Hong Kong,HKG,1980,22.545689
Hong Kong,HKG,1990,22.977806
Hong Kong,HKG,2000,23.260347
Hong Kong,HKG,2010,23.278769
Hungary,HUN,1940,10.282434
Hungary,HUN,1950,10.6329565
Hungary,HUN,1960,10.590891
Hungary,HUN,1970,10.490409
Hungary,HUN,1980,10.318502
Hungary,HUN,1990,10.716726
Hungary,HUN,2000,11.312969
Hungary,HUN,2010,11.791639
Iceland,ISL,1940,-0.4482979
Iceland,ISL,1950,0.46773744
Iceland,ISL,1960,-0.756188
Iceland,ISL,1970,-0.12537512
Iceland,ISL,1980,0.6816885
Iceland,ISL,1990,1.148073
Iceland,ISL,2000,2.0276706
Iceland,ISL,2010,2.2126455
India,IND,1940,23.502508
India,IND,1950,23.34949
India,IND,1960,23.716913
India,IND,1970,23.790339
India,IND,1980,23.891298
India,IND,1990,23.871288
India,IND,2000,24.197107
India,IND,2010,24.377048
Indonesia,IDN,1940,23.892529
Indonesia,IDN,1950,24.101208
Indonesia,IDN,1960,24.129719
Indonesia,IDN,1970,24.290768
Indonesia,IDN,1980,24.633034
Indonesia,IDN,1990,24.82959
Indonesia,IDN,2000,25.050903
Indonesia,IDN,2010,25.4015
Iran,IRN,1940,17.14159
Iran,IRN,1950,16.752666
Iran,IRN,1960,16.980976
Iran,IRN,1970,17.105137
Iran,IRN,1980,16.911081
Iran,IRN,1990,17.609703
Iran,IRN,2000,18.46933
Iran,IRN,2010,18.859098
Iraq,IRQ,1940,21.84264
Iraq,IRQ,1950,21.37613
Iraq,IRQ,1960,21.646364
Iraq,IRQ,1970,21.557978
Iraq,IRQ,1980,21.813072
Iraq,IRQ,1990,22.455776
Iraq,IRQ,2000,23.064302
Iraq,IRQ,2010,23.456324
Ireland,IRL,1940,9.838412
Ireland,IRL,1950,9.728818
Ireland,IRL,1960,9.233447
Ireland,IRL,1970,9.503621
Ireland,IRL,1980,9.526469
Ireland,IRL,1990,9.843791
Ireland,IRL,2000,9.983613
Ireland,IRL,2010,9.788342
Isle of Man,IMN,1940,9.88164
Isle of Man,IMN,1950,9.809835
Isle of Man,IMN,1960,9.645197
Isle of Man,IMN,1970,9.706219
Isle of Man,IMN,1980,9.648359
Isle of Man,IMN,1990,10.192446
Isle of Man,IMN,2000,10.486701
Isle of Man,IMN,2010,10.282456
Israel,ISR,1940,19.125696
Israel,ISR,1950,19.219479
Israel,ISR,1960,19.537106
Israel,ISR,1970,19.345856
Israel,ISR,1980,19.179058
Israel,ISR,1990,19.689142
Israel,ISR,2000,20.193336
Israel,ISR,2010,20.83026
Italy,ITA,1940,11.708029
Italy,ITA,1950,12.189842
Italy,ITA,1960,12.063603
Italy,ITA,1970,11.939321
Italy,ITA,1980,12.100309
Italy,ITA,1990,12.643736
Italy,ITA,2000,13.09715
Italy,ITA,2010,13.447202
Jamaica,JAM,1940,24.761604
Jamaica,JAM,1950,24.591457
Jamaica,JAM,1960,24.780893
Jamaica,JAM,1970,24.835728
Jamaica,JAM,1980,25.321268
Jamaica,JAM,1990,25.395819
Jamaica,JAM,2000,25.56775
Jamaica,JAM,2010,25.967783
Japan,JPN,1940,10.162121
Japan,JPN,1950,10.932274
Japan,JPN,1960,11.031546
Japan,JPN,1970,11.169571
Japan,JPN,1980,11.089475
Japan,JPN,1990,11.827503
Japan,JPN,2000,11.955277
Japan,JPN,2010,12.204264
Jordan,JOR,1940,18.1521
Jordan,JOR,1950,18.19856
Jordan,JOR,1960,18.493052
Jordan,JOR,1970,18.414469
Jordan,JOR,1980,18.387602
Jordan,JOR,1990,18.803051
Jordan,JOR,2000,19.214289
Jordan,JOR,2010,19.947834
Kazakhstan,KAZ,1940,6.713305
Kazakhstan,KAZ,1950,5.3859878
Kazakhstan,KAZ,1960,5.7690516
Kazakhstan,KAZ,1970,5.810506
Kazakhstan,KAZ,1980,6.2523203
Kazakhstan,KAZ,1990,6.4017653
Kazakhstan,KAZ,2000,7.2731857
Kazakhstan,KAZ,2010,7.127945
Kenya,KEN,1940,24.299526
Kenya,KEN,1950,23.841896
Kenya,KEN,1960,24.159763
Kenya,KEN,1970,24.405642
Kenya,KEN,1980,24.746418
Kenya,KEN,1990,24.81868
Kenya,KEN,2000,25.280264
Kenya,KEN,2010,25.505318
